sample_id,rep,prompt_version,news_desk,model,vader_compound
62,0,E,Foreign,Gemini-2.5-Flash,-0.24885000000000002
62,1,E,Foreign,Gemini-2.5-Flash,-0.699075
62,2,E,Foreign,Gemini-2.5-Flash,-0.7937000000000001
63,0,E,Foreign,Gemini-2.5-Flash,0.9351749999999999
63,1,E,Foreign,Gemini-2.5-Flash,0.8991749999999998
63,2,E,Foreign,Gemini-2.5-Flash,0.76725
64,0,E,Foreign,Gemini-2.5-Flash,0.49795
64,1,E,Foreign,Gemini-2.5-Flash,0.048019999999999986
64,2,E,Foreign,Gemini-2.5-Flash,0.5608
65,0,E,Foreign,Gemini-2.5-Flash,-0.17344999999999997
65,1,E,Foreign,Gemini-2.5-Flash,-0.56715
65,2,E,Foreign,Gemini-2.5-Flash,-0.24414999999999998
66,0,E,Foreign,Gemini-2.5-Flash,-0.345775
66,1,E,Foreign,Gemini-2.5-Flash,0.493
66,2,E,Foreign,Gemini-2.5-Flash,0.6078
67,0,E,Foreign,Gemini-2.5-Flash,-0.17007999999999998
67,1,E,Foreign,Gemini-2.5-Flash,-0.18102499999999996
67,2,E,Foreign,Gemini-2.5-Flash,0.153
68,0,E,Foreign,Gemini-2.5-Flash,0.7857000000000001
68,1,E,Foreign,Gemini-2.5-Flash,0.33445
68,2,E,Foreign,Gemini-2.5-Flash,0.478225
69,0,E,Foreign,Gemini-2.5-Flash,-0.483175
69,1,E,Foreign,Gemini-2.5-Flash,-0.028900000000000037
69,2,E,Foreign,Gemini-2.5-Flash,-0.1543
70,0,E,Foreign,Gemini-2.5-Flash,0.86865
70,1,E,Foreign,Gemini-2.5-Flash,0.6013999999999999
70,2,E,Foreign,Gemini-2.5-Flash,0.06492500000000001
71,0,E,Foreign,Gemini-2.5-Flash,-0.687225
71,1,E,Foreign,Gemini-2.5-Flash,-0.27842500000000003
71,2,E,Foreign,Gemini-2.5-Flash,-0.964575
72,0,E,Foreign,Gemini-2.5-Flash,0.4485
72,1,E,Foreign,Gemini-2.5-Flash,0.7755
72,2,E,Foreign,Gemini-2.5-Flash,0.42060000000000003
73,0,E,Foreign,Gemini-2.5-Flash,0.5565749999999999
73,1,E,Foreign,Gemini-2.5-Flash,0.333675
