sample_id,rep,prompt_version,news_desk,model,vader_compound
8,0,E,Business,Claude-Haiku-4.5,-0.787175
8,1,E,Business,Claude-Haiku-4.5,-0.8279750000000001
8,2,E,Business,Claude-Haiku-4.5,-0.709075
9,0,E,Business,Claude-Haiku-4.5,-0.049425
9,1,E,Business,Claude-Haiku-4.5,-0.32069999999999993
9,2,E,Business,Claude-Haiku-4.5,-0.24045
10,0,E,Foreign,Claude-Haiku-4.5,-0.15962500000000002
10,1,E,Foreign,Claude-Haiku-4.5,-0.7837999999999999
10,2,E,Foreign,Claude-Haiku-4.5,-0.79565
11,0,E,Foreign,Claude-Haiku-4.5,0.757575
11,1,E,Foreign,Claude-Haiku-4.5,0.16012499999999996
11,2,E,Foreign,Claude-Haiku-4.5,0.5375
12,0,E,Foreign,Claude-Haiku-4.5,-0.72995
12,1,E,Foreign,Claude-Haiku-4.5,-0.689675
12,2,E,Foreign,Claude-Haiku-4.5,-0.50235
13,0,E,Foreign,Claude-Haiku-4.5,-0.294125
13,1,E,Foreign,Claude-Haiku-4.5,-0.30585
13,2,E,Foreign,Claude-Haiku-4.5,-0.36012500000000003
14,0,E,Foreign,Claude-Haiku-4.5,0.6539666666666667
14,1,E,Foreign,Claude-Haiku-4.5,-0.438425
14,2,E,Foreign,Claude-Haiku-4.5,0.3793
15,0,E,Foreign,Claude-Haiku-4.5,-0.09607500000000002
15,1,E,Foreign,Claude-Haiku-4.5,0.1411
15,2,E,Foreign,Claude-Haiku-4.5,0.158
16,0,E,Foreign,Claude-Haiku-4.5,-0.94045
16,1,E,Foreign,Claude-Haiku-4.5,-0.6204666666666666
16,2,E,Foreign,Claude-Haiku-4.5,-0.9815333333333333
17,0,E,Foreign,Claude-Haiku-4.5,0.83205
17,1,E,Foreign,Claude-Haiku-4.5,0.16115
17,2,E,Foreign,Claude-Haiku-4.5,0.7907500000000001
18,0,E,Foreign,Claude-Haiku-4.5,0.8351500000000001
18,1,E,Foreign,Claude-Haiku-4.5,0.8049250000000001
18,2,E,Foreign,Claude-Haiku-4.5,0.751375
19,0,E,Foreign,Claude-Haiku-4.5,0.67945
19,1,E,Foreign,Claude-Haiku-4.5,0.9044333333333333
19,2,E,Foreign,Claude-Haiku-4.5,0.7352333333333334
20,0,E,Business,Claude-Haiku-4.5,0.9377666666666666
20,1,E,Business,Claude-Haiku-4.5,-0.20520000000000002
20,2,E,Business,Claude-Haiku-4.5,-0.2596
21,0,E,Business,Claude-Haiku-4.5,0.6593
21,1,E,Business,Claude-Haiku-4.5,0.5973749999999999
21,2,E,Business,Claude-Haiku-4.5,0.8485
22,0,E,Business,Claude-Haiku-4.5,0.7749499999999999
22,1,E,Business,Claude-Haiku-4.5,-0.353125
22,2,E,Business,Claude-Haiku-4.5,0.217925
23,0,E,Business,Claude-Haiku-4.5,-0.924
23,1,E,Business,Claude-Haiku-4.5,-0.06029999999999999
23,2,E,Business,Claude-Haiku-4.5,-0.179175
24,0,E,Business,Claude-Haiku-4.5,0.984225
24,1,E,Business,Claude-Haiku-4.5,0.891775
24,2,E,Business,Claude-Haiku-4.5,0.976525
25,0,E,Business,Claude-Haiku-4.5,0.482425
25,1,E,Business,Claude-Haiku-4.5,0.952125
25,2,E,Business,Claude-Haiku-4.5,0.91875
26,0,E,Business,Claude-Haiku-4.5,-0.204775
26,1,E,Business,Claude-Haiku-4.5,-0.4885
26,2,E,Business,Claude-Haiku-4.5,-0.9093
27,0,E,Business,Claude-Haiku-4.5,0.216125
27,1,E,Business,Claude-Haiku-4.5,0.505775
27,2,E,Business,Claude-Haiku-4.5,0.7317999999999999
28,0,E,Business,Claude-Haiku-4.5,0.29312499999999997
28,1,E,Business,Claude-Haiku-4.5,0.38167500000000004
28,2,E,Business,Claude-Haiku-4.5,-0.19804999999999998
29,0,E,Business,Claude-Haiku-4.5,0.1285
29,1,E,Business,Claude-Haiku-4.5,0.6937
29,2,E,Business,Claude-Haiku-4.5,0.47264999999999996
30,0,E,Business,Claude-Haiku-4.5,0.9231
30,1,E,Business,Claude-Haiku-4.5,0.9540000000000001
30,2,E,Business,Claude-Haiku-4.5,0.73685
31,0,E,Business,Claude-Haiku-4.5,0.22795000000000004
31,1,E,Business,Claude-Haiku-4.5,1.3877787807814457e-17
31,2,E,Business,Claude-Haiku-4.5,0.2925
32,0,E,Business,Claude-Haiku-4.5,0.6720250000000001
32,1,E,Business,Claude-Haiku-4.5,0.40625
32,2,E,Business,Claude-Haiku-4.5,0.707425
33,0,E,Business,Claude-Haiku-4.5,-0.90795
33,1,E,Business,Claude-Haiku-4.5,-0.7881
33,2,E,Business,Claude-Haiku-4.5,-0.8950500000000001
34,0,E,Business,Claude-Haiku-4.5,-0.4838
34,1,E,Business,Claude-Haiku-4.5,-0.35535
34,2,E,Business,Claude-Haiku-4.5,-0.78355
35,0,E,Business,Claude-Haiku-4.5,0.700375
35,1,E,Business,Claude-Haiku-4.5,0.40025
35,2,E,Business,Claude-Haiku-4.5,0.66715
36,0,E,Business,Claude-Haiku-4.5,-0.34475
36,1,E,Business,Claude-Haiku-4.5,-0.043325
36,2,E,Business,Claude-Haiku-4.5,0.08329999999999997
37,0,E,Business,Claude-Haiku-4.5,-0.914125
37,1,E,Business,Claude-Haiku-4.5,-0.225025
37,2,E,Business,Claude-Haiku-4.5,0.14989999999999998
38,0,E,Business,Claude-Haiku-4.5,0.035775
38,1,E,Business,Claude-Haiku-4.5,-0.5283249999999999
38,2,E,Business,Claude-Haiku-4.5,0.205425
39,0,E,Business,Claude-Haiku-4.5,0.862125
39,1,E,Business,Claude-Haiku-4.5,0.9365749999999999
39,2,E,Business,Claude-Haiku-4.5,0.7075750000000001
40,0,E,Business,Claude-Haiku-4.5,-0.8658750000000001
40,1,E,Business,Claude-Haiku-4.5,-0.9703
40,2,E,Business,Claude-Haiku-4.5,-0.44377500000000003
41,0,E,Business,Claude-Haiku-4.5,-0.7394000000000001
41,1,E,Business,Claude-Haiku-4.5,-0.4592
41,2,E,Business,Claude-Haiku-4.5,-0.005150000000000016
42,0,E,Business,Claude-Haiku-4.5,0.8848
42,1,E,Business,Claude-Haiku-4.5,0.8842333333333333
42,2,E,Business,Claude-Haiku-4.5,0.9751666666666666
43,0,E,Business,Claude-Haiku-4.5,0.935975
43,1,E,Business,Claude-Haiku-4.5,0.5829249999999999
43,2,E,Business,Claude-Haiku-4.5,0.34155
44,0,E,Business,Claude-Haiku-4.5,0.597975
44,1,E,Business,Claude-Haiku-4.5,0.4631
44,2,E,Business,Claude-Haiku-4.5,0.20072500000000001
45,0,E,Business,Claude-Haiku-4.5,-0.551725
45,1,E,Business,Claude-Haiku-4.5,-0.46127500000000005
45,2,E,Business,Claude-Haiku-4.5,-0.36775
46,0,E,Business,Claude-Haiku-4.5,0.44705
46,1,E,Business,Claude-Haiku-4.5,0.08717499999999997
46,2,E,Business,Claude-Haiku-4.5,0.0013999999999999568
47,0,E,Business,Claude-Haiku-4.5,-0.3905
