sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
7,1,E,Business,Claude-Haiku-4.5,-0.983360538414369,3,926
7,2,E,Business,Claude-Haiku-4.5,-0.9309180416166782,3,962
8,0,E,Business,Claude-Haiku-4.5,-0.9951817598193884,3,963
8,1,E,Business,Claude-Haiku-4.5,-0.9912017631189277,3,1012
8,2,E,Business,Claude-Haiku-4.5,-0.9917110264068469,3,979
9,0,E,Business,Claude-Haiku-4.5,-0.8069437903662523,3,991
9,1,E,Business,Claude-Haiku-4.5,-0.8476319825276732,3,900
9,2,E,Business,Claude-Haiku-4.5,-0.6299115159393599,3,912
10,0,E,Foreign,Claude-Haiku-4.5,0.3351075551472604,3,982
10,1,E,Foreign,Claude-Haiku-4.5,0.3176715237398942,3,888
10,2,E,Foreign,Claude-Haiku-4.5,0.07959562260657549,4,1058
11,0,E,Foreign,Claude-Haiku-4.5,0.6629556803818559,4,1011
11,1,E,Foreign,Claude-Haiku-4.5,0.9546138784692934,3,936
11,2,E,Foreign,Claude-Haiku-4.5,0.33234057140847045,3,992
12,0,E,Foreign,Claude-Haiku-4.5,-0.9845153613326451,3,909
12,1,E,Foreign,Claude-Haiku-4.5,-0.23264334878573814,3,923
12,2,E,Foreign,Claude-Haiku-4.5,-0.96836376717935,3,934
13,0,E,Foreign,Claude-Haiku-4.5,-0.49287413398269564,4,1046
13,1,E,Foreign,Claude-Haiku-4.5,-0.9287723104159037,3,931
13,2,E,Foreign,Claude-Haiku-4.5,-0.7719157220174869,3,988
14,0,E,Foreign,Claude-Haiku-4.5,-0.7870581198173264,3,869
14,1,E,Foreign,Claude-Haiku-4.5,-0.5332316630519927,4,1097
14,2,E,Foreign,Claude-Haiku-4.5,-0.32505474022279185,3,991
15,0,E,Foreign,Claude-Haiku-4.5,0.7805721629410982,3,950
15,1,E,Foreign,Claude-Haiku-4.5,0.35727250824371976,3,870
15,2,E,Foreign,Claude-Haiku-4.5,0.7516781364878019,3,956
16,0,E,Foreign,Claude-Haiku-4.5,-0.3290245005240043,3,982
16,1,E,Foreign,Claude-Haiku-4.5,0.5360441061202437,3,817
16,2,E,Foreign,Claude-Haiku-4.5,-0.08383528391520183,3,763
17,0,E,Foreign,Claude-Haiku-4.5,-0.6935040187090635,3,951
17,1,E,Foreign,Claude-Haiku-4.5,-0.3169932876092692,3,981
17,2,E,Foreign,Claude-Haiku-4.5,0.004484319128096104,4,1063
18,0,E,Foreign,Claude-Haiku-4.5,0.6781077353128543,3,938
18,1,E,Foreign,Claude-Haiku-4.5,0.3256794574360053,3,1004
18,2,E,Foreign,Claude-Haiku-4.5,0.38834678661078215,3,957
19,0,E,Foreign,Claude-Haiku-4.5,0.30716200118574005,3,913
19,1,E,Foreign,Claude-Haiku-4.5,0.9232899301374952,3,822
19,2,E,Foreign,Claude-Haiku-4.5,0.9444631941926976,3,862
20,0,E,Business,Claude-Haiku-4.5,-0.33888950338587165,3,893
20,1,E,Business,Claude-Haiku-4.5,-0.9779231736126045,3,969
20,2,E,Business,Claude-Haiku-4.5,-0.9836022581439465,3,821
21,0,E,Business,Claude-Haiku-4.5,-0.09626591795434554,3,982
21,1,E,Business,Claude-Haiku-4.5,-0.3097517918795347,3,1010
21,2,E,Business,Claude-Haiku-4.5,-0.043042672177155815,3,898
22,0,E,Business,Claude-Haiku-4.5,0.2831172247727712,3,1008
22,1,E,Business,Claude-Haiku-4.5,-0.9800769079787036,3,1037
22,2,E,Business,Claude-Haiku-4.5,-0.9273676048809042,3,974
23,0,E,Business,Claude-Haiku-4.5,-0.99615833783173,4,1100
23,1,E,Business,Claude-Haiku-4.5,-0.9855360022435585,3,979
23,2,E,Business,Claude-Haiku-4.5,-0.876017457630951,4,1035
24,0,E,Business,Claude-Haiku-4.5,0.2871499973698519,4,1012
24,1,E,Business,Claude-Haiku-4.5,-0.1336094190677007,3,970
24,2,E,Business,Claude-Haiku-4.5,0.15909529911975065,3,1010
25,0,E,Business,Claude-Haiku-4.5,-0.7676572061318439,4,1068
25,1,E,Business,Claude-Haiku-4.5,0.14462689589709044,4,1028
25,2,E,Business,Claude-Haiku-4.5,-0.9291552786889952,4,1036
26,0,E,Business,Claude-Haiku-4.5,-0.9966999336223429,3,1001
26,1,E,Business,Claude-Haiku-4.5,-0.9924399068889519,3,974
26,2,E,Business,Claude-Haiku-4.5,-0.9972937876591459,3,1017
27,0,E,Business,Claude-Haiku-4.5,0.09082746381560962,3,974
27,1,E,Business,Claude-Haiku-4.5,-0.9802284509253999,3,939
27,2,E,Business,Claude-Haiku-4.5,-0.12729761997858682,3,880
28,0,E,Business,Claude-Haiku-4.5,-0.36892024738093215,3,976
28,1,E,Business,Claude-Haiku-4.5,-0.7803678549826145,3,987
28,2,E,Business,Claude-Haiku-4.5,-0.7575074483950933,3,953
29,0,E,Business,Claude-Haiku-4.5,0.23946197424083948,3,929
29,1,E,Business,Claude-Haiku-4.5,0.3294627574117233,3,986
29,2,E,Business,Claude-Haiku-4.5,0.26777320238761604,4,1039
30,0,E,Business,Claude-Haiku-4.5,0.3792308882499735,3,946
30,1,E,Business,Claude-Haiku-4.5,-0.1293797722707192,3,876
30,2,E,Business,Claude-Haiku-4.5,-0.7260260035594305,3,954
